intent,text
search_knowledge,"""Can you provide knowledge on corporate tax planning?"""
search_knowledge,"""I need information about compliance for 2023 tax returns."""
search_knowledge,"""Tell me about high-growth companies and corporate tax planning."""
search_knowledge,"""Find knowledge on advisory service best practices."""
search_knowledge,"""What do I need to know about managing international tax risks?"""
search_knowledge,"""Give me details about financial advisory services."""
search_knowledge,"""I need knowledge on employee taxation and stock options."""
search_knowledge,"""Can you share information on the 2024 corporate tax filing guide?"""
search_knowledge,"""What are the legal deadlines for tax compliance?"""
search_knowledge,"""Tell me about effective advisory strategies in the finance sector."""
search_knowledge,"""What do I need to know about compliance requirements for 2023?"""
search_knowledge,"""I need details on tax regulations for remote employees in 2024."""
search_knowledge,"""How do I handle international tax disputes?"""
search_knowledge,"""Can you provide a corporate tax deductions guide?"""
search_knowledge,"""Tell me about international tax compliance for multinational corporations."""
search_knowledge,"""What are the transfer pricing guidelines for multinational companies?"""
search_knowledge,"""I need knowledge on the impact of tax reform on corporate finance."""
search_knowledge,"""Tell me the legal obligations for international tax filings."""
search_knowledge,"""What are the tax law changes for 2024 and their impacts?"""
search_knowledge,"""Give me information on employee stock option taxation."""
search_knowledge,"""Can you provide solutions for advisory for SMEs?"""
search_knowledge,"""Find knowledge on tax compliance for multinational companies."""
search_knowledge,"""Give me information on advisory practices in the finance sector."""
search_knowledge,"""What are the best practices for providing advisory services?"""
search_knowledge,"""Tell me about the risks in international tax management."""
search_knowledge,"""Find me knowledge on stock option taxation for employees."""
search_knowledge,"""What do I need to know about compliance for 2024?"""
search_knowledge,"""Give me a guide for 2023 corporate tax compliance."""
search_knowledge,"""Tell me how to handle international tax compliance."""
search_knowledge,"""Find information on the benefits of employee stock options."""
search_knowledge,"""Give me knowledge on corporate tax deductions for this year."""
search_knowledge,"""Can you share the best practices for tax advisory services?"""
search_knowledge,"""What is the impact of the new tax law on corporate tax?"""
search_knowledge,"""I need information on advisory services for high-growth companies."""
search_knowledge,"""Give me knowledge about effective compliance strategies."""
search_knowledge,"""What are the strategies for international tax compliance?"""
search_knowledge,"""Provide a checklist for 2023 tax filing compliance."""
search_knowledge,"""Tell me about advisory solutions for SMEs."""
search_knowledge,"""Give me a guide on how to manage corporate tax filings."""
search_knowledge,"""Can you provide knowledge about compliance strategies for finance?"""
search_knowledge,"""I need to know about 2024 tax regulations for remote employees."""
search_knowledge,"""Tell me about compliance strategies in tax law."""
search_knowledge,"""What are the guidelines for multinational tax compliance?"""
search_knowledge,"""Provide me knowledge on handling international tax disputes."""
search_knowledge,"""Tell me about corporate tax strategies for multinational firms."""
search_knowledge,"""I need a corporate tax filing guide for high-growth companies."""
search_knowledge,"""Tell me about employee taxation and stock options in 2024."""
search_knowledge,"""What are the legal deadlines for tax filing in 2023?"""
search_knowledge,"""Find me knowledge about financial advisory services."""
search_knowledge,"""Can you give me knowledge on compliance for finance firms?"""
search_knowledge,"""What are the legal obligations for tax compliance in 2024?"""
search_knowledge,"""Give me details on the 2024 corporate tax filing deadlines."""
search_knowledge,"""Tell me the advisory practices for high-growth companies."""
search_knowledge,"""What are the compliance strategies for multinational corporations?"""
search_knowledge,"""Give me knowledge about compliance in employee tax for 2024."""
search_knowledge,"""Tell me about the international tax obligations for 2024."""
search_knowledge,"""What are the compliance requirements for tax filing this year?"""
search_knowledge,"""Give me strategies for advisory services in the finance industry."""
search_knowledge,"""Find knowledge about transfer pricing for multinational firms."""
search_knowledge,"""Tell me about the legal requirements for handling tax disputes."""
search_sites,"""Provide me sites on handling international tax disputes."""
search_sites,"""Tell me the sites on corporate tax strategies for multinational firms."""
search_sites,"""I need corporate tax filing sites for high-growth companies."""
search_sites,"""Tell me the sites on employee taxation and stock options in 2024."""
search_sites,"""Find me sites on financial advisory services."""
search_sites,"""Can you give me the sites on compliance for finance firms?"""
search_sites,"""Give me sites on the 2024 corporate tax filing deadlines."""
search_sites,"""Give me sites on compliance in employee tax for 2024."""
search_sites,"""Give me sites on strategies for advisory services in the finance industry."""
search_sites,"""Find sites on transfer pricing for multinational firms."""
search_sites,"""Tell me the sites on the legal requirements for handling tax disputes."""
search_sites,"""Find sites on tax compliance for multinational companies."""
search_sites,"""Give me sites on advisory practices in the finance sector."""
search_sites,"""Find me sites on stock option taxation for employees."""
search_sites,"""Find sites on the benefits of employee stock options."""
